filename,language,version,encoding
Grobid_RR_2024_l3_combined.xml,en,1.0,UTF-8
Grobid_RR_2024_l1_combined.xml,en,1.0,UTF-8
Grobid_RR_2024_l2_combined.xml,en,1.0,UTF-8
